"priority_rank","priority_tier","company_or_person","region","country","city","type_or_size","specialty","why_promising","website","contact_email","instagram","contact_confidence","research_source_url","email_subject","email_body"
"91","B","Wire Collective","Europe","UK","London","Creative archviz collective","Architectural visualization and collaborative CGI","your collective model makes you particularly interesting to me because I am specifically looking to become a trusted extra production resource rather than only pursue a conventional staff role","https://wirecollective.com/","info@wirecollective.com","","High","https://wirecollective.com/","3D visualization support for Wire Collective","Hi Wire Collective team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your collective model makes you particularly interesting to me because I am specifically looking to become a trusted extra production resource rather than only pursue a conventional staff role.

If you ever need extra capacity, I can take on a self-contained part of a architectural visualization and collaborative cgi project and work to your references, naming conventions and feedback process.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best regards,
[name]"
"92","B","Frammed","Europe","Poland","Poznań","Small/founder-led studio","3D rendering, modeling, 360/VR and Unreal-related visualization","your small team spans rendering, modeling, 360/VR and real-time work, and I would be interested in handling a clearly scoped asset, scene or render package when you have overflow","https://frammed.eu/","office@frammed.eu","","High","https://frammed.eu/","Portfolio + a small trial task for Frammed","Hi Frammed team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your small team spans rendering, modeling, 360/VR and real-time work, and I would be interested in handling a clearly scoped asset, scene or render package when you have overflow.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks for taking a look,
[name]"
"93","B","Anton Luget","Europe","UK","Bristol","Independent 3D artist","Photoreal architecture, interiors, furniture and product CGI","you work independently across architecture, interiors and product CGI and explicitly invite cooperation by email, so I am reaching out as a potential production partner for overflow work","https://antonluget.com/","anton@antonluget.com","","High","https://www.behance.net/gallery/241068015/World-Of-Wonder-Reference-CGI-Animation","Freelance archviz support — Anton Luget","Hi Anton,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. Anton Luget stood out to me because you work independently across architecture, interiors and product CGI and explicitly invite cooperation by email, so I am reaching out as a potential production partner for overflow work.

I’d be glad to help with a clearly defined part of your photoreal architecture, interiors, furniture and product cgi pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

If you ever have overflow work you would rather delegate than turn down or rush, I’d be happy to do a small test first so you can judge whether my files, communication and visual quality fit your workflow. Portfolio: [portfolio]. Even a single bounded scene or image would be enough to start.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"94","B","Utura","Europe","Spain","Barcelona","Founder-led visualization studio","Architectural visualization for architects, developers, designers and brands","your studio is led directly by its founders and works internationally across residential, commercial and branded spaces, which makes a direct offer of dependable overflow support appropriate","https://utura.es/","marta_puig@utura.es","","High","https://utura.es/about","Could I help with overflow 3D work at Utura?","Hi Marta and Marc,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your studio is led directly by its founders and works internationally across residential, commercial and branded spaces, which makes a direct offer of dependable overflow support appropriate.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architectural visualization for architects, developers, designers and brands, with clear inputs, deadline and review criteria.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thank you for your time,
[name]"
"95","B","Utopic Visuals","Europe","Switzerland / Spain","Geneva / Barcelona","Visualization studio","Architectural visualization for architecture, interiors and real estate","your Geneva/Barcelona practice serves a broad architecture and interiors client base, so I would be interested in helping with production-heavy exterior or interior packages","https://utopicvisuals.com/","info@utopicvisuals.com","","High","https://utopicvisuals.com/","Architectural visualization collaboration with Utopic Visuals","Hi Utopic Visuals team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Utopic Visuals because your Geneva/Barcelona practice serves a broad architecture and interiors client base, so I would be interested in helping with production-heavy exterior or interior packages.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best,
[name]"
"96","B","Alga Studio","Europe","Spain","Barcelona","Small studio (1–10)","3D visualization, interior design, landscaping and product imagery","your three-founder studio works across interior/exterior visualization, product imagery and design and states that it is open to different kinds of collaboration","https://algastudio.cat/","info@algastudio.cat","","High","https://algastudio.cat/contacts/","3ds Max / archviz production support for Alga Studio","Hi Alga Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your three-founder studio works across interior/exterior visualization, product imagery and design and states that it is open to different kinds of collaboration.

If you ever need extra capacity, I can take on a self-contained part of a 3d visualization, interior design, landscaping and product imagery project and work to your references, naming conventions and feedback process.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best regards,
[name]"
"97","B","AIR Studio","Europe","France","Nantes / Bordeaux","Small studio (1–10)","Architectural visualization with strong atmosphere, composition and light","your small French studio is led by three associates and focuses on refined architectural imagery, so I would be glad to work under your art direction on a bounded scene or image","https://airstudio.fr/","contact@airstudio.fr","","High","https://airstudio.fr/contact","3D visualization support for AIR Studio","Hi AIR Studio team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your small French studio is led by three associates and focuses on refined architectural imagery, so I would be glad to work under your art direction on a bounded scene or image.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks for taking a look,
[name]"
"98","B","Atelier Sama","Europe","France","Marseille","Small studio (1–10)","Architectural, urban and landscape illustration/visualization","your Marseille atelier approaches visualization from an architect's perspective and works closely with architecture, urbanism and landscape projects, so a carefully scoped support task feels like the right introduction","https://ateliersama.fr/","contact@ateliersama.fr","","High","https://ateliersama.fr/contact","Portfolio + a small trial task for Atelier Sama","Hi Benjamin and Atelier Sama,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. Atelier Sama stood out to me because your Marseille atelier approaches visualization from an architect's perspective and works closely with architecture, urbanism and landscape projects, so a carefully scoped support task feels like the right introduction.

I’d be glad to help with a clearly defined part of your architectural, urban and landscape illustration/visualization pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"99","B","Make Believe","Europe","UK","Bournemouth","Small CGI studio","Architectural and commercial CGI visualization","your small team explicitly combines CGI, photography and post-production for architectural visualization, so I would be interested in supporting your 3D production when project schedules overlap","https://www.make-believe.co/","info@makestudio.co.uk","","High","https://www.make-believe.co/about","Freelance archviz support — Make Believe","Hi Make Believe team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your small team explicitly combines CGI, photography and post-production for architectural visualization, so I would be interested in supporting your 3D production when project schedules overlap.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architectural and commercial cgi visualization, with clear inputs, deadline and review criteria.

I’d be happy to complete a small trial task first so there is no need to make a hiring decision upfront. My portfolio is [portfolio]. If you have a scene, image or production task that could be delegated, I’d be glad to take it on and work to your feedback.

Thank you for your time,
[name]"
"100","B","Marsala Images","Europe","Romania","Bucharest","Architect-led visualization studio","Photoreal exterior/interior renders, animations and 360 experiences","your team is made up of architects turned visualizers and says it can scale from a single hero shot to campaigns of 50+ images, which makes flexible extra capacity especially relevant","https://www.bemarsala.com/","hello@bemarsala.com","","High","https://www.bemarsala.com/","Could I help with overflow 3D work at Marsala Images?","Hi Marsala Images team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Marsala Images because your team is made up of architects turned visualizers and says it can scale from a single hero shot to campaigns of 50+ images, which makes flexible extra capacity especially relevant.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best,
[name]"
